label,file_size,number_of_sections,file_characteristics,imagebase,dll_characteristics,size_of_image,size_of_headers,size_of_code,Check_for_Debugger,contain_bitcoin_address,is_packed,ransomware_command_indicator,suspicious_technique_indicator,contain_monero_address,contain_onion_address,using_encryption_library,ransomware_string_indicator,suspicious_entropy_and_indicator,yara_match_count,unique_section_names,max_entropy,min_entropy,mean_entropy,max_section_size,min_section_size,mean_section_size,is_gui,imported_dll_count,imported_function_count,exported_function_count
ransomware,94720,3,259,4194304,34048,102400,1024,40448,0,0,0,0,0,0,0,0,0,0,0,1,7.9824646474484435,5.965306229244432,7.244270496692721,43008,10240,31232.0,1,1,9,0
ransomware,229376,5,258,4194304,33088,249856,1024,175104,1,0,0,0,0,0,0,1,0,0,4,1,6.467207825199047,0.3702194635505425,4.588676050231619,175104,512,45670.4,1,3,67,0
ransomware,350720,11,33166,4194304,0,405504,1024,254976,0,0,0,1,1,0,0,1,0,0,3,5,7.827818566900217,0.0,4.021893453611064,245760,0,31790.545454545456,1,10,142,2
ransomware,671744,4,259,4194304,33792,131072,1024,4096,1,0,0,0,0,0,0,1,0,1,6,1,7.335471771080478,0.30745295561822994,4.455352438153822,110592,4096,31744.0,1,6,208,0
ransomware,227264,5,8450,268435456,320,217088,1024,135168,1,0,0,0,1,0,0,1,0,1,6,1,6.655108786407723,2.5236806502270213,4.936547110683597,135168,512,40857.6,1,1,78,0
ransomware,665088,9,559,4194304,352,688128,1024,536576,1,0,0,0,0,1,0,1,0,0,3,4,6.29436167311572,0.0,3.7912972853746947,536576,0,73784.88888888889,1,8,152,0
ransomware,3085318,7,34,5368709120,33120,3121152,1024,2139648,1,0,0,0,0,0,1,1,1,1,6,3,6.807130032104763,2.79024928313574,4.910311190126758,2139648,512,440612.5714285714,1,11,187,0
ransomware,50688,5,258,4194304,33088,65536,1024,3584,1,0,0,0,0,0,0,1,0,0,4,1,5.951144489196789,0.35275948821577235,3.939592121327558,41984,512,9932.8,1,4,51,0
ransomware,685568,5,258,4194304,33088,700416,1024,470016,1,0,0,1,1,0,1,1,1,0,9,1,6.5688213936338835,3.688258682048505,5.257776110855055,470016,512,136908.8,1,11,189,0
ransomware,56832,5,258,4194304,33088,77824,1024,34304,0,0,0,0,0,0,0,0,0,0,0,2,7.848161223951406,5.2778312416346775,6.324104383198564,34304,1536,11161.6,1,9,111,0
